cells,UMAP1,UMAP2
cy78_CD45_neg_1_B04_S496_comb,14.992012,6.7578325
cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb,12.84922,2.1068032
CY88_5_B10_S694_comb,12.173581,5.1032534
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb,11.523162,1.3802959
cy78_CD45_neg_3_H06_S762_comb,14.401949,7.4019094
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb,12.46523,1.312369
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb,12.660373,2.6865125
CY88_3_D02_S614_comb,13.723045,6.1113725
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb,11.46342,0.92857045
cy53_1_CD45_neg_C06_S318_comb,8.500212,6.478355
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb,10.912784,3.4723003
Cy71_CD45_D08_S524_comb,12.383605,9.71812
Cy81_FNA_CD45_B01_S301_comb,8.658743,6.708872
CY88_5_B06_S690_comb,13.590647,6.236082
cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb,12.452031,2.6707463
Cy80_II_CD45_B07_S883_comb,11.525072,6.9665866
cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb,13.239507,3.2535844
Cy81_Bulk_CD45_B10_S118_comb,8.921247,6.3024163
cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb,12.718914,2.1661952
CY88_3_F01_S637_comb,13.681489,5.9029365
CY88_3_C01_S601_comb,13.645018,6.109896
CY89NEG_E07_S55_comb,14.281349,4.9161344
CY89CORE11_G02_S170_comb,14.523134,5.068267
cy78_CD45_neg_1_D07_S523_comb,15.294528,7.2566957
cy78_CD45_neg_3_D01_S709_comb,15.048183,6.687434
cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb,11.321475,2.5134096
Cy71_CD45_B05_S497_comb,11.44748,8.145082
Cy80_II_CD45_C09_S897_comb,11.055543,6.288549
cy81_FNA_CD45_neg_D04_S1000_comb,8.170859,5.633298
cy82_CD45_pos_2_H12_S576_comb,14.792099,2.7273202
cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb,11.600618,3.1611886
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb,12.77209,2.1191266
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb,10.944466,7.4629846
cy80_CD45_neg_G01_S937_comb,12.015774,6.441478
cy78_CD45_neg_2_B08_S596_comb,15.210488,7.0920696
cy78_CD45_neg_1_E02_S530_comb,14.298151,8.105762
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F07_S163_comb,11.482975,1.0267469
CY89CORE11_A11_S107_comb,14.473316,5.176469
cy78_CD45_neg_3_B02_S686_comb,14.478612,7.641989
cy79_p5_CD45_neg_PDL1_neg_A02_S770_comb,11.099363,3.2644567
cy79_p4_CD45_neg_PDL1_neg_D01_S1093_comb,12.105661,1.897791
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C01_S313_comb,12.637818,4.0767565
cy81_Bulk_CD45_neg_A10_S106_comb,8.901474,5.0917845
cy53_1_CD45_neg_E04_S340_comb,8.745177,6.4119067
cy79_p5_CD45_neg_PDL1_neg_C03_S795_comb,12.442236,4.333339
cy78_CD45_neg_3_D04_S712_comb,14.757052,7.64719
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A10_S10_comb,11.926995,3.7222939
cy81_FNA_CD45_neg_B01_S973_comb,7.743269,6.424992
Cy81_FNA_CD45_E05_S341_comb,8.1977625,6.6317163
cy78_CD45_neg_3_E02_S722_comb,14.453744,7.4533844
cy79_p3_CD45_neg_PDL1_neg_H12_S288_comb,12.298106,3.7403767
cy79_p5_CD45_neg_PDL1_pos_D05_S713_comb,11.191685,1.3295141
cy78_CD45_neg_3_D10_S718_comb,14.232427,7.9333925
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G10_S82_comb,11.926149,1.6834008
cy78_CD45_neg_1_G05_S557_comb,15.146756,7.3650208
CY88_5_C12_S708_comb,13.662097,6.478906
cy79_p5_CD45_neg_PDL1_pos_B02_S686_comb,13.462827,2.7330618
Cy81_Bulk_CD45_E10_S154_comb,8.9042845,5.8373604
CY88CD45_150813_G04_S364_comb,5.617282,1.5675439
Cy80_II_CD45_H07_S955_comb,11.580701,6.9245787
cy79_p4_CD45_neg_PDL1_neg_B08_S1076_comb,12.39941,3.627957
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B07_S19_comb,11.614934,1.9624703
cy82_CD45_pos_3_A03_S3_comb,14.744697,3.0111623
cy79_p4_CD45_neg_PDL1_neg_C12_S1092_comb,13.345915,3.7513142
cy78_CD45_neg_3_G11_S755_comb,14.73835,7.577268
Cy81_FNA_CD45_D09_S333_comb,8.2509,6.5167036
cy79_p3_CD45_neg_PDL1_neg_A08_S200_comb,12.419684,2.303286
Cy71_CD45_E12_S540_comb,11.668928,8.48895
cy94_cd45neg_cd90pos_G07_S367_comb,10.227853,4.543448
cy78_CD45_neg_1_H01_S565_comb,14.6633835,7.620293
CY89CORE11_F05_S161_comb,13.2727165,4.962866
CY89NEG_C03_S27_comb,14.242365,5.2302995
cy81_Bulk_CD45_neg_G01_S169_comb,7.824442,6.4449177
CY89CORE11_B10_S118_comb,14.172169,4.8532844
cy78_CD45_neg_1_C02_S506_comb,14.1007185,7.0544767
CY88_5_G04_S748_comb,13.143443,5.988459
cy79_p3_CD45_neg_PDL1_neg_H04_S280_comb,11.413944,1.5145093
CY88_3_F05_S641_comb,12.775237,5.6383324
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B10_S118_comb,12.293286,1.8534815
Cy71_CD45_G02_S554_comb,12.120317,8.170709
cy78_CD45_neg_1_A05_S485_comb,14.415304,7.991709
cy81_Bulk_CD45_neg_C03_S123_comb,8.819973,5.3669605
cy79_p4_CD45_neg_PDL1_neg_C03_S1083_comb,12.358534,3.3740733
cy94_cd45neg_cd90pos_E08_S344_comb,10.758747,4.579204
cy81_FNA_CD45_neg_C09_S993_comb,7.9419713,5.6212463
cy80_CD45_neg_G04_S940_comb,11.862982,6.6915274
Cy80_II_CD45_H09_S957_comb,11.59596,6.934601
cy80_CD45_neg_A09_S873_comb,11.196241,6.318518
CY88_3_H11_S671_comb,12.5564,5.1978984
Cy80_II_CD45_B11_S887_comb,11.320897,6.9670806
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D12_S144_comb,11.395787,1.8037951
CY89NEG_B03_S15_comb,14.255371,5.2442737
Cy81_Bulk_CD45_E04_S148_comb,8.912699,5.977564
Cy80_II_CD45_D11_S911_comb,12.038126,6.492508
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D05_S137_comb,13.045542,2.3495831
cy78_CD45_neg_1_E03_S531_comb,11.381434,4.892272
CY88_3_C10_S610_comb,14.090563,5.943069
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B08_S308_comb,11.273279,1.3734739
cy78_CD45_neg_1_E07_S535_comb,14.556523,7.3468876
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B12_S24_comb,12.432178,2.8533585
CY89NEG_G01_S73_comb,14.349397,5.3144836
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B02_S14_comb,11.771135,1.117909
cy79_p4_CD45_neg_PDL1_pos_G08_S464_comb,12.687531,3.5966582
cy81_FNA_CD45_neg_F09_S1029_comb,8.238934,5.2067456
cy78_CD45_neg_2_C06_S606_comb,13.724187,7.7590737
Cy81_FNA_CD45_G10_S370_comb,8.77735,6.5579147
Cy71_CD45_E11_S539_comb,11.359977,8.512022
CY88_5_D11_S719_comb,13.5781765,6.239169
cy82_CD45_pos_2_D11_S527_comb,14.354391,3.0762553
CY89FNAQ2_F06_S450_comb,14.313619,5.2301784
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C08_S32_comb,13.219814,3.3482778
cy78_CD45_neg_3_G02_S746_comb,14.679629,7.642121
Cy81_FNA_CD45_C09_S321_comb,8.589029,6.7355504
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F06_S66_comb,10.7870245,2.4429994
cy78_CD45_neg_1_B02_S494_comb,14.333127,7.0947514
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E01_S49_comb,11.654129,1.4998837
cy80_CD45_neg_D04_S904_comb,11.456155,6.682741
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F01_S157_comb,13.43185,2.6376004
cy79_p4_CD45_neg_PDL1_pos_A02_S386_comb,13.312708,3.4396377
cy80_CD45_neg_E02_S914_comb,11.410901,6.594863
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D09_S45_comb,12.0184355,1.8891104
cy78_CD45_neg_1_H07_S571_comb,14.611604,8.051053
Cy80_II_CD45_G07_S943_comb,10.95997,7.180919
cy78_CD45_neg_1_F06_S546_comb,15.099731,7.3574867
cy81_FNA_CD45_neg_E04_S1012_comb,8.011166,5.3721776
cy81_Bulk_CD45_neg_E04_S148_comb,8.909671,5.2056446
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H01_S181_comb,12.816204,2.0146742
cy81_Bulk_CD45_neg_C11_S131_comb,8.7288885,5.321321
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A04_S4_comb,12.132503,1.0771834
cy81_Bulk_CD45_neg_D09_S141_comb,8.484229,5.3730545
Cy71_CD45_G08_S560_comb,10.856038,8.249131
CY89CORE11_A04_S100_comb,13.708062,4.8110933
cy80_CD45_neg_G02_S938_comb,11.834329,6.752108
CY88_5_H03_S759_comb,13.864935,5.9795046
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B08_S20_comb,12.291544,1.11755
CY88_5_E04_S724_comb,14.132919,5.9026604
CY89NEG_H11_S95_comb,14.059317,4.529196
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D11_S335_comb,12.98954,2.8132052
cy79_p5_CD45_neg_PDL1_neg_E02_S818_comb,12.618174,1.5870639
cy82_CD45_pos_3_B11_S23_comb,14.902557,3.0040221
cy81_FNA_CD45_neg_F08_S1028_comb,8.311504,5.4024158
CY88_3_D07_S619_comb,13.86476,5.98215
cy79_p3_CD45_neg_PDL1_neg_F09_S261_comb,12.640887,3.8093894
CY88_3_G09_S657_comb,13.993524,5.9792557
cy79_p5_CD45_neg_PDL1_neg_D03_S807_comb,11.432856,1.4606892
CY88_5_H08_S764_comb,13.698033,5.9313335
cy79_p4_CD45_neg_PDL1_neg_F08_S1124_comb,11.672077,3.9215808
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D10_S334_comb,11.829663,3.271514
cy81_FNA_CD45_neg_G12_S1044_comb,8.295097,5.457139
CY88_3_B04_S592_comb,11.599728,4.989088
cy79_p5_CD45_neg_PDL1_pos_A11_S683_comb,13.036258,4.165749
Cy71_CD45_F06_S546_comb,11.526469,8.762364
cy79_p5_CD45_neg_PDL1_pos_G11_S755_comb,13.538029,2.5666394
cy79_p5_CD45_neg_PDL1_pos_C10_S706_comb,12.743213,2.3366303
cy79_p3_CD45_neg_PDL1_neg_F08_S260_comb,12.846901,3.57478
cy53_1_CD45_neg_B02_S302_comb,8.140941,6.161163
CY89NEG_F05_S65_comb,14.604466,5.2183194
cy80_CD45_neg_H08_S956_comb,12.111526,6.590181
Cy81_Bulk_CD45_D01_S133_comb,7.9945383,6.7534347
cy79_p3_CD45_neg_PDL1_neg_G03_S267_comb,11.512737,4.3654003
Cy81_Bulk_CD45_D10_S142_comb,8.719339,5.702872
CY89NEG_F07_S67_comb,13.291169,5.5332217
cy79_p5_CD45_neg_PDL1_pos_H06_S762_comb,11.739148,3.9646156
cy79_p4_CD45_neg_PDL1_neg_F12_S1128_comb,10.91497,5.992882
cy82_CD45_pos_2_B03_S495_comb,14.922137,3.0378587
cy78_CD45_neg_1_A04_S484_comb,15.026885,7.5776653
Cy81_FNA_CD45_C05_S317_comb,7.8580055,6.6208572
Cy80_II_CD45_B01_S877_comb,11.505462,7.055129
CY89CORE11_E10_S154_comb,14.182771,4.6278787
cy81_Bulk_CD45_neg_E02_S146_comb,7.9683022,6.5217404
cy80_CD45_neg_A05_S869_comb,12.915574,6.3418174
cy79_p4_CD45_neg_PDL1_pos_D03_S423_comb,12.021252,2.7544942
cy79_p4_CD45_neg_PDL1_pos_A04_S388_comb,12.368779,2.6178384
CY89NEG_E06_S54_comb,14.51939,4.706559
cy79_p5_CD45_neg_PDL1_neg_C02_S794_comb,12.79421,3.9380195
CY88_3_A10_S586_comb,13.332649,5.7452335
CY88CD45POS_7_C07_S223_comb,9.413907,4.3059173
CY89FNAQ2_G07_S463_comb,14.032245,5.229841
cy80_CD45_neg_F05_S929_comb,11.753393,6.6910853
Cy81_Bulk_CD45_G12_S180_comb,8.649784,5.7835646
cy81_FNA_CD45_neg_F06_S1026_comb,7.890407,6.062591
cy79_p4_CD45_neg_PDL1_pos_C02_S410_comb,13.068371,3.0204484
cy79_p5_CD45_neg_PDL1_pos_C11_S707_comb,12.99397,3.7657263
cy79_p5_CD45_neg_PDL1_pos_F09_S741_comb,11.032438,3.97299
cy79_p4_CD45_neg_PDL1_pos_E10_S442_comb,12.571479,2.0487945
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H01_S373_comb,12.780349,2.992075
cy78_CD45_neg_1_H08_S572_comb,10.46157,4.144088
CY89CORE11_B04_S112_comb,14.270748,5.004903
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F03_S159_comb,11.804133,1.3835505
cy79_p3_CD45_neg_PDL1_neg_H10_S286_comb,12.921007,3.2729983
cy78_CD45_neg_1_F02_S542_comb,15.012884,6.7579136
CY89CORE11_A05_S101_comb,13.392866,4.769131
CY89CORE11_B06_S114_comb,14.509792,5.3632984
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E08_S56_comb,13.0530405,3.6947718
cy79_p3_CD45_neg_PDL1_neg_C07_S223_comb,11.973921,4.0275955
cy78_CD45_neg_3_G07_S751_comb,14.488554,7.905468
CY89NEG_A06_S6_comb,14.488372,5.2572975
cy79_p4_CD45_neg_PDL1_neg_B04_S1072_comb,12.877629,1.727324
Cy81_FNA_CD45_F02_S350_comb,9.034307,5.828039
cy79_p4_CD45_neg_PDL1_neg_H01_S1141_comb,11.927395,3.581027
CY89CORE11_D09_S141_comb,13.080759,5.079814
cy78_CD45_neg_1_F10_S550_comb,14.939903,7.126631
cy79_p4_CD45_neg_PDL1_pos_H11_S479_comb,11.815145,2.1536782
cy81_FNA_CD45_neg_H09_S1053_comb,8.28795,5.3613553
cy78_CD45_neg_3_E05_S725_comb,14.495318,7.837431
cy78_CD45_neg_1_H04_S568_comb,14.155791,8.177409
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A07_S7_comb,11.252908,1.2263864
CY89FNAQ2_B02_S398_comb,13.176795,4.413891
Cy71_CD45_H06_S570_comb,11.452432,8.702336
cy79_p3_CD45_neg_PDL1_neg_D09_S237_comb,13.076776,2.386323
CY88_5_B12_S696_comb,13.509066,7.5935464
CY88_3_H10_S670_comb,13.2050085,5.605988
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B11_S119_comb,13.358463,2.1255074
CY89FNAQ2_C04_S412_comb,11.750981,3.7523034
cy79_p5_CD45_neg_PDL1_pos_E10_S730_comb,12.968623,2.7762702
Cy80_II_CD45_B09_S885_comb,11.409975,7.1638117
cy79_p5_CD45_neg_PDL1_pos_G02_S746_comb,12.186637,2.5253313
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G02_S170_comb,12.076092,2.5522547
cy79_p3_CD45_neg_PDL1_neg_E05_S245_comb,12.651258,3.0714748
CY88_5_H05_S761_comb,14.075536,6.8373237
Cy81_FNA_CD45_H12_S384_comb,8.194025,6.5577674
cy79_p5_CD45_neg_PDL1_neg_G04_S844_comb,11.726944,3.770369
CY88_5_D08_S716_comb,13.427854,6.4311013
cy79_p4_CD45_neg_PDL1_pos_B11_S407_comb,13.527771,3.0088818
cy79_p3_CD45_neg_PDL1_neg_B11_S215_comb,13.233097,2.103611
CY88_3_B12_S600_comb,13.161005,5.855534
cy81_FNA_CD45_neg_F02_S1022_comb,7.836331,5.7155223
cy79_p4_CD45_neg_PDL1_pos_D05_S425_comb,11.800513,1.9469486
cy94_cd45neg_cd90pos_A11_S299_comb,10.638335,4.703984
cy60_1_cd_45_neg_3_F06_S546_comb,14.267191,5.6951804
cy79_p4_CD45_neg_PDL1_pos_D01_S421_comb,11.54439,4.7046237
CY88_5_D10_S718_comb,12.349295,6.8502407
CY89NEG_H06_S90_comb,14.259538,5.1709476
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H03_S375_comb,12.248909,4.036416
Cy81_Bulk_CD45_E08_S152_comb,8.918041,6.3583155
CY89FNAQ2_H03_S471_comb,13.867494,4.8494434
cy79_p4_CD45_neg_PDL1_neg_H09_S1149_comb,12.363142,2.9474864
cy81_FNA_CD45_neg_B04_S976_comb,7.8153133,5.9919715
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F11_S167_comb,11.056332,4.287348
cy79_p4_CD45_neg_PDL1_neg_F03_S1119_comb,12.275827,3.4802468
cy79_p4_CD45_neg_PDL1_pos_C04_S412_comb,12.870525,4.1788273
Cy80_II_CD45_G09_S945_comb,11.1312475,6.547649
cy79_p5_CD45_neg_PDL1_pos_G05_S749_comb,13.599572,3.8951855
cy79_p4_CD45_neg_PDL1_pos_F06_S450_comb,11.725305,4.535174
cy82_CD45_pos_3_C11_S35_comb,14.877466,2.847775
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C04_S316_comb,12.960304,4.5027485
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F06_S162_comb,11.731176,3.0766408
CY88_3_C12_S612_comb,13.3252325,6.504451
Cy80_II_CD45_D09_S909_comb,11.642267,7.0882335
cy81_FNA_CD45_neg_E12_S1020_comb,8.315502,5.413496
cy78_CD45_neg_3_G09_S753_comb,14.409252,7.1172423
cy79_p4_CD45_neg_PDL1_neg_A12_S1068_comb,12.802292,3.9991593
cy79_p4_CD45_neg_PDL1_neg_B11_S1079_comb,12.60358,2.7902858
cy79_p5_CD45_neg_PDL1_neg_A05_S773_comb,13.063933,4.4806714
Cy71_CD45_D11_S527_comb,11.47885,8.376809
cy80_CD45_neg_D03_S903_comb,11.695732,6.470826
cy78_CD45_neg_1_B08_S500_comb,14.933763,7.244003
cy88_cd45pos_5_C01_S217_comb,13.694465,7.12316
cy81_Bulk_CD45_neg_E09_S153_comb,8.614307,5.3704596
cy79_p3_CD45_neg_PDL1_neg_B06_S210_comb,12.665888,3.1082184
cy78_CD45_neg_3_D07_S715_comb,14.558771,7.563634
cy79_p5_CD45_neg_PDL1_neg_F05_S833_comb,13.414647,2.8899562
cy80_CD45_neg_B01_S877_comb,11.921099,6.3687406
cy82_CD45_pos_1_E08_S536_comb,14.6491375,3.1944752
Cy81_Bulk_CD45_B09_S117_comb,8.821569,5.935333
cy78_CD45_neg_1_A03_S483_comb,14.854721,7.5848517
cy79_p5_CD45_neg_PDL1_neg_H06_S858_comb,12.04134,3.3435965
cy79_p4_CD45_neg_PDL1_neg_A03_S1059_comb,13.1436,3.3250403
cy78_CD45_neg_1_F08_S548_comb,12.535956,5.4644184
cy60_1_cd_45_neg_3_C10_S514_comb,15.143221,7.092075
CY88_3_C08_S608_comb,12.4923725,5.256544
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A12_S108_comb,12.530239,1.4037261
